,index,time,dayOfWeek,isWorkDay,sp#,win#,bldgI#,POI#,majVoted_actiLvl,muS,sdS,vaS,cvS,mxS,mnS,raS,c_raS,q1S,q2S,q3S,p95S,iqrS,c_iqrS,mad0S,mad1S,ES,rmsS,p2rmsS,rssS,snrS,skwS,kurS,muM,sdM,vaM,cvMM,mxM,mnM,raM,c_raM,q1M,q2M,q3M,p95M,iqrM,c_iqrM,mad0M,mad1M,EM,rmsM,p2rmsM,rssM,snrM,skwM,kurM,muC,sdC,vaC,cvC,mxC,mnC,raC,c_raC,q1C,q2C,q3C,p95C,iqrC,c_iqrC,mad0C,mad1C,EC,rmsC,p2rmsC,rssC,snrC,skwC,kurC,muH,sdH,vaH,cvH,mxH,mnH,raH,c_raH,q1H,q2H,q3H,p95H,iqrH,c_iqrH,mad0H,mad1H,EH,rmsH,p2rmsH,rssH,snrH,skwH,kurH,is_workday,day_of_week,epoch_number,hour,PID
0,5,11/24/2015 0:52,3,1,1,6,18,1,0,0.5,1.581139,2.5,316.227766,5,0,5,1,0,0,0,5,0,,0.9,0,25,1.581139,3.162278,5,#NAME?,2.666667,8.111111,12.1,4.201851,17.655556,34.726045,24,10,14,0.411765,11,11,11,24,0,0,2.38,0,1623,12.739702,1.883875,40.286474,#NAME?,2.616499,7.96165,1.15434,0.400857,0.160686,34.726045,2.2896,0.954,1.3356,0.411765,1.0494,1.0494,1.0494,2.2896,0,0,0.227052,0,14.771183,1.215368,1.883875,3.84333,#NAME?,2.616499,7.96165,65.9,2.884826,8.322222,4.377581,72,61,11,0.082707,65,66,66,72,1,0.007634,1.74,0.5,43503,65.956804,1.091624,208.573728,#NAME?,0.456033,3.657564,0,1,3,0,360
1,7,11/24/2015 1:12,3,1,1,8,18,1,0,0.4,1.264911,1.6,316.227766,4,0,4,1,0,0,0,4,0,,0.72,0,16,1.264911,3.162278,4,#NAME?,2.666667,8.111111,11.8,3.614784,13.066667,30.633767,22,10,12,0.375,10,11,11,22,1,0.047619,2.04,0,1510,12.288206,1.790335,38.858718,#NAME?,2.580415,7.851381,1.12572,0.34485,0.118922,30.633767,2.0988,0.954,1.1448,0.375,0.954,1.0494,1.0494,2.0988,0.0954,0.047619,0.194616,0,13.742752,1.172295,1.790335,3.707122,#NAME?,2.580415,7.851381,62.2,3.29309,10.844444,5.294358,67,57,10,0.080645,60,62.5,65,67,5,0.04,2.6,2.5,38786,62.278407,1.075814,196.941616,#NAME?,-0.126725,1.962544,0,1,3,1,360
2,12,11/24/2015 2:02,3,1,1,13,18,1,0,0.6,1.897367,3.6,316.227766,6,0,6,1,0,0,0,6,0,,1.08,0,36,1.897367,3.162278,6,#NAME?,2.666667,8.111111,12,4.242641,18,35.355339,24,10,14,0.411765,10,11,11,24,1,0.047619,2.4,0,1602,12.657014,1.896182,40.024992,#NAME?,2.604145,7.921811,1.1448,0.404748,0.163821,35.355339,2.2896,0.954,1.3356,0.411765,0.954,1.0494,1.0494,2.2896,0.0954,0.047619,0.22896,0,14.580058,1.207479,1.896182,3.818384,#NAME?,2.604145,7.921811,65.1,5.626327,31.655556,8.642591,73,58,15,0.114504,59,65.5,70,73,11,0.085271,4.7,5.5,42665,65.318451,1.117602,206.555077,0.299333,-0.000316,1.632675,0,1,3,2,360
3,14,11/24/2015 2:22,3,1,1,15,18,1,0,1.5,3.374743,11.388889,224.982853,10,0,10,1,0,0,0,10,0,,2.4,0,125,3.535534,2.828427,11.18034,#NAME?,1.919795,5.149911,13,5.312459,28.222222,40.86507,24,10,14,0.411765,10,11,11,24,1,0.047619,4,1,1944,13.94274,1.721326,44.090815,#NAME?,1.49986,3.346457,1.2402,0.506809,0.256855,40.86507,2.2896,0.954,1.3356,0.411765,0.954,1.0494,1.0494,2.2896,0.0954,0.047619,0.3816,0.0954,17.692655,1.330137,1.721326,4.206264,#NAME?,1.49986,3.346457,67.9,3.3483,11.211111,4.931222,72,61,11,0.082707,66,68.5,70,72,4,0.029412,2.52,2,46205,67.97426,1.059224,214.953483,-0.517979,-0.65746,2.886467,0,1,3,2,360
4,15,11/24/2015 2:32,3,1,1,16,18,1,1,22.8,24.507595,600.622222,107.489453,72,0,72,1,0,23,32,72,32,1,18.6,23,10604,32.563784,2.211045,102.975725,0.022289,0.755645,2.594187,24.4,12.946042,167.6,53.057549,46,10,36,0.642857,11,29,32,46,21,0.488372,11.12,12,7462,27.316662,1.683954,86.382869,-0.099295,0.091294,1.72171,2.32776,1.235052,1.525354,53.057549,4.3884,0.954,3.4344,0.642857,1.0494,2.7666,3.0528,4.3884,2.0034,0.488372,1.060848,1.1448,67.912856,2.60601,1.683954,8.240926,-0.099295,0.091294,1.72171,79.6,9.094565,82.711111,11.425333,96,66,30,0.185185,72,78,86,96,14,0.088608,7.12,6,64106,80.066223,1.199007,253.191627,1.771572,0.366507,2.289085,0,1,3,2,360
5,16,11/24/2015 2:42,3,1,1,17,18,1,0,5.9,10.979273,120.544444,186.08938,30,0,30,1,0,0,7,30,7,1,8.26,0,1433,11.970798,2.506099,37.854986,1.658938,1.480907,3.509013,15.8,8.093893,65.511111,51.227174,30,10,20,0.5,11,11,24,30,13,0.371429,6.92,0,3086,17.567015,1.707746,55.551778,1.970013,0.965668,2.061109,1.50732,0.772157,0.596227,51.227174,2.862,0.954,1.908,0.5,1.0494,1.0494,2.2896,2.862,1.2402,0.371429,0.660168,0,28.08618,1.675893,1.707746,5.29964,1.970013,0.965668,2.061109,74,5.09902,26,6.890567,80,65,15,0.103448,74,75,77,80,3,0.019868,3.6,2,54994,74.15794,1.078779,234.507996,#NAME?,-0.991218,2.70984,0,1,3,2,360
6,17,11/24/2015 2:52,3,1,1,18,18,1,0,1.8,5.6921,32.4,316.227766,18,0,18,1,0,0,0,18,0,,3.24,0,324,5.6921,3.162278,18,#NAME?,2.666667,8.111111,12.3,5.538752,30.677778,45.030507,28,10,18,0.473684,10,11,11,28,1,0.047619,3.14,0.5,1789,13.37535,2.093403,42.296572,#NAME?,2.626351,7.986694,1.17342,0.528397,0.279203,45.030507,2.6712,0.954,1.7172,0.473684,0.954,1.0494,1.0494,2.6712,0.0954,0.047619,0.299556,0.0477,16.281975,1.276008,2.093403,4.035093,#NAME?,2.626351,7.986694,73.4,4.64758,21.6,6.331853,83,66,17,0.114094,70,74,75,83,5,0.034483,3.4,2,54070,73.532306,1.128756,232.529568,0.398098,0.445769,3.193797,0,1,3,2,360
7,18,11/24/2015 3:02,3,1,1,19,18,1,0,0.4,1.264911,1.6,316.227766,4,0,4,1,0,0,0,4,0,,0.72,0,16,1.264911,3.162278,4,0.793243,2.666667,8.111111,12.1,4.306326,18.544444,35.589472,24,10,14,0.411765,10,10.5,12,24,2,0.090909,2.56,0.5,1631,12.771061,1.879249,40.385641,1.390281,2.400728,7.235245,1.15434,0.410824,0.168776,35.589472,2.2896,0.954,1.3356,0.411765,0.954,1.0017,1.1448,2.2896,0.1908,0.090909,0.244224,0.0477,14.843992,1.218359,1.879249,3.85279,1.390281,2.400728,7.235245,70.2,10.538817,111.066667,15.01256,89,56,33,0.227586,62,68,77,89,15,0.107914,8.44,7.5,50280,70.908392,1.255141,224.232023,#NAME?,0.419868,2.155556,0,1,3,3,360
8,42,11/24/2015 7:02,3,1,1,43,18,1,0,1.7,2.790858,7.788889,164.168123,7,0,7,1,0,0,5,7,5,1,2.38,0,99,3.146427,2.224746,9.949874,1.140812,1.004097,2.207356,14.5,6.13279,37.611111,42.295102,24,10,14,0.411765,11,11,22,24,11,0.333333,5.3,0.5,2441,15.6237,1.536128,49.406477,1.044835,0.88351,1.834894,1.3833,0.585068,0.342305,42.295102,2.2896,0.954,1.3356,0.411765,1.0494,1.0494,2.0988,2.2896,1.0494,0.333333,0.50562,0.0477,22.215932,1.490501,1.536128,4.713378,1.044835,0.88351,1.834894,66.1,4.998889,24.988889,7.562615,73,54,19,0.149606,65,66,68,73,3,0.022556,2.92,1,43917,66.269903,1.101556,209.563833,0.512312,-1.238077,4.803419,0,1,3,7,360
9,43,11/24/2015 7:12,3,1,1,44,18,1,0,7.2,9.942054,98.844444,138.084088,29,0,29,1,0,2.5,10,29,10,1,7.64,2.5,1408,11.865918,2.443975,37.523326,-4.220066,1.210185,3.269864,18.7,8.680118,75.344444,46.417742,30,10,20,0.5,11,17.5,26,30,15,0.405405,8.1,7.5,4175,20.432817,1.468226,64.61424,#NAME?,0.087315,1.136485,1.78398,0.828083,0.685722,46.417742,2.862,0.954,1.908,0.5,1.0494,1.6695,2.4804,2.862,1.431,0.405405,0.77274,0.7155,37.997343,1.949291,1.468226,6.164198,#NAME?,0.087315,1.136485,80.2,3.119829,9.733333,3.890061,84,74,10,0.063291,78,80.5,83,84,5,0.031056,2.4,2.5,64408,80.254595,1.046669,253.787313,#NAME?,-0.681291,2.538875,0,1,3,7,360
